card,issuedate,activationdate,firstuseddate
"112,900",2020-04-16 14:40:30,2020-04-25 13:56:26,2020-08-18 20:43:48
"114,389",2020-03-17 21:26:40,2020-05-07 14:16:27,2020-06-05 22:03:52
"110,383",2020-01-08 06:43:04,2020-01-20 16:11:34,2020-02-08 19:07:02
"113,035",2020-03-16 22:59:18,2020-03-27 16:44:20,2020-04-29 02:33:23
"110,137",2020-01-28 17:52:05,2020-02-08 17:03:32,2020-03-06 23:06:35
"110,188",2020-01-10 21:42:59,2020-01-29 20:32:45,2020-08-07 16:54:18
"110,516",2020-01-28 17:49:10,2020-02-10 19:45:40,2020-06-26 17:58:38
"116,171",2020-04-20 21:40:35,2020-05-07 15:26:31,2020-06-01 07:47:28
"114,532",2020-03-23 21:02:39,2020-03-30 19:45:53,2020-07-05 15:44:02
"115,724",2020-04-01 18:40:32,2020-04-16 14:36:24,2020-04-28 18:13:45
"114,588",2020-03-25 20:36:15,2020-03-30 14:11:48,2020-04-19 16:18:11
"114,573",2020-03-17 10:39:03,2020-03-25 09:52:25,2020-04-08 08:57:36
"115,064",2020-03-24 10:52:23,2020-04-09 18:16:09,2020-05-12 18:16:26
"113,007",2020-03-16 22:44:45,2020-03-25 00:18:17,2020-04-23 21:57:44
"114,509",2020-03-16 14:52:45,2020-04-04 14:50:49,2020-11-25 12:14:33
"114,099",2020-03-12 17:01:18,2020-03-26 18:08:34,2020-04-07 11:19:07
"110,536",2020-01-28 17:48:57,2020-02-04 04:31:38,2020-03-19 23:58:28
"110,075",2020-01-10 20:29:30,2020-01-31 01:06:42,2020-03-02 15:36:06
"110,821",2020-01-14 21:42:49,2020-02-13 00:43:59,2020-03-11 13:28:13
"114,242",2020-03-22 02:20:59,2020-03-28 00:26:04,2020-05-18 20:36:33
"113,700",2020-03-04 21:50:08,2020-03-22 22:45:58,2020-05-02 20:49:25
"115,322",2020-03-27 09:00:17,2020-06-08 16:34:54,2020-08-02 11:28:48
"116,154",2020-04-07 20:40:32,2020-04-22 14:39:58,2020-06-17 13:34:42
"112,158",2020-03-22 03:24:42,2020-03-31 19:11:46,2020-06-06 18:59:22
"111,823",2020-02-04 19:39:57,2020-02-13 20:27:01,2020-07-28 22:52:47
"113,678",2020-03-11 18:42:42,2020-03-24 18:45:09,2020-08-01 20:07:10
"110,837",2020-03-26 16:40:34,2020-04-02 23:20:01,2020-07-20 18:35:30
"112,025",2020-03-22 03:43:16,2020-03-31 12:11:59,2020-05-28 20:50:19
"114,114",2020-03-12 22:59:55,2020-03-18 23:43:33,2020-04-21 13:44:56
"114,102",2020-03-22 02:35:04,2020-03-31 15:36:24,2020-09-12 00:40:19
"115,450",2020-04-08 22:41:02,2020-04-18 20:46:31,2020-05-05 16:51:37
"111,584",2020-03-22 21:43:17,2020-03-30 14:47:53,2020-05-06 17:36:44
"114,154",2020-03-11 15:23:43,2020-03-20 16:42:24,2020-09-11 09:48:13
"110,276",2020-01-15 11:25:54,2020-03-13 01:49:04,2020-04-25 14:01:50
"111,560",2020-03-22 21:57:39,2020-04-15 13:20:05,2020-05-12 11:02:45
"112,492",2020-02-12 21:16:43,2020-02-24 19:51:14,2020-06-05 21:12:12
"114,805",2020-03-24 21:04:44,2020-04-28 17:24:43,2020-06-20 19:19:00
"113,528",2020-03-03 18:09:28,2020-03-13 01:07:35,2020-04-02 07:49:10
"112,069",2020-02-05 20:06:50,2020-02-13 11:33:57,2020-05-28 09:46:33
"112,003",2020-03-19 15:01:21,2020-03-26 16:09:47,2020-05-19 15:20:06
"113,489",2020-03-03 17:58:58,2020-03-12 14:24:46,2020-05-15 19:44:36
"111,275",2020-01-23 19:36:49,2020-02-03 01:17:31,2020-03-10 16:56:34
"114,436",2020-03-26 15:40:30,2020-04-02 21:24:15,2020-06-09 11:22:56
"110,489",2020-01-10 21:43:14,2020-01-23 20:48:26,2020-02-18 16:50:46
"116,356",2020-04-09 15:40:39,2020-04-20 22:50:40,2020-05-10 16:35:52
"110,039",2020-01-02 19:48:12,2020-01-13 22:57:53,2020-07-01 12:36:53
"110,178",2020-01-24 17:29:45,2020-01-30 00:05:30,2020-02-15 13:24:44
"114,406",2020-03-14 16:48:29,2020-03-18 19:50:28,2020-03-31 07:52:02
"110,450",2020-01-28 17:50:58,2020-02-11 23:39:08,2020-03-16 21:58:14
"111,571",2020-03-16 17:03:22,2020-03-23 18:56:42,2020-04-06 14:35:15
"111,605",2020-03-22 22:02:05,2020-03-31 18:07:20,2020-05-06 18:07:31
"112,909",2020-02-18 20:20:39,2020-03-07 12:05:40,2020-03-18 17:23:50
"112,134",2020-03-22 03:23:59,2020-04-08 13:40:15,2020-04-24 16:16:55
"111,989",2020-03-23 18:34:56,2020-04-08 23:04:56,2020-04-27 23:33:25
"113,282",2020-03-05 15:05:36,2020-04-12 18:11:41,2020-05-24 14:37:58
"113,742",2020-03-16 21:08:36,2020-03-21 22:43:22,2020-04-23 14:08:30
"113,032",2020-03-16 22:59:55,2020-04-04 11:36:34,2020-07-10 15:36:39
"114,481",2020-03-24 18:53:49,2020-05-31 03:36:33,2020-06-13 14:53:56
"116,562",2020-04-09 20:40:31,2020-04-25 20:42:27,2020-05-28 14:54:43
"115,285",2020-03-30 21:40:32,2020-04-08 21:14:08,2020-07-16 01:31:26
"110,665",2020-01-14 14:32:51,2020-01-21 21:09:04,2020-07-02 23:59:04
"110,806",2020-03-08 19:43:44,2020-03-29 17:26:44,2020-05-13 20:34:04
"109,995",2020-01-10 20:06:47,2020-01-21 17:44:19,2020-09-10 11:04:05
"112,230",2020-03-22 03:11:01,2020-04-08 13:30:15,2020-05-06 18:15:35
"113,134",2020-03-04 01:31:38,2020-03-13 17:32:58,2020-04-14 02:28:22
"113,146",2020-02-26 19:40:20,2020-03-05 19:28:12,2020-06-12 13:48:57
"117,030",2020-10-26 14:26:50,2020-11-06 10:22:16,2020-11-17 06:35:55
"115,299",2020-03-26 21:59:05,2020-04-09 08:53:29,2020-05-28 14:50:32
"114,699",2020-03-23 19:47:02,2020-04-06 16:53:35,2020-05-06 17:08:05
